revenue_energy,revenue_fcas,capacity_payment,cost_degradation,imbalance_penalty,prediction_penalty
33102.253962465096,8443.191588332913,15054.113809723995,242.61083773340727,18071.833672121364,0.0
33668.358320284104,8892.654157394676,14848.920006754599,249.86998184483832,12933.197660722097,0.0
34443.96459025832,8577.50926105647,14776.330811467353,238.70643526153108,9478.767522066999,0.0
35950.18419498997,8328.800766980768,14850.597458275302,246.2548026189679,6348.764807609319,0.0
36356.89446342926,8021.961507290149,14849.618195601734,246.66562394486758,4131.426517669637,0.0
38731.529397571976,9598.010749201378,16134.10520722286,283.14759327197254,2825.5534126465095,0.0
39881.09959328615,10415.125232971515,16925.960383549085,311.1107331685668,2791.7185295618146,0.0
40057.02530107503,10570.623451083902,17683.933079436698,299.7086586925546,2734.4989133482823,0.0
40440.21796896648,10849.85317664202,17704.634998405858,313.48263835420175,2025.7227388480462,0.0
40688.31503906301,10957.250823110851,18246.471318141397,315.9991742035914,2174.0146582890584,0.0
40736.01634007381,11099.192149611232,18571.76688518379,314.37554782553383,2302.910340966476,0.0
40488.85427392153,10931.176177554415,18009.45145776426,311.38488049793,2272.637111463491,0.0
40606.73281822678,10810.276124270578,18257.4725077856,317.0042521245162,2719.875016772912,0.0
40818.60117301888,11012.79353803115,18409.07842338149,322.0869058946816,2639.578411329864,0.0
40424.57713851123,10922.53026472948,18413.928886953523,303.35025291599226,2369.6338504568907,0.0
40416.38086796086,10803.173543875448,18296.623461143325,306.0541371289442,2532.321693897802,0.0
40287.18935128228,10981.610252914828,18416.83451764599,301.7010724431061,2426.3052552326117,0.0
40375.837313964366,10950.003628076276,18384.151475736915,300.2813660707016,2166.153248051414,0.0
40286.548973144425,10939.506648054137,18365.05778459107,296.01100254724264,1849.4432099348644,0.0
40413.207951750715,11015.873197834364,18820.981488626712,297.17773103451185,2198.8513810332774,0.0
40549.13491596814,10995.997014897357,18199.774237651116,309.52186105833096,1831.8664802655394,0.0
40604.01108215947,11326.141962038408,18984.95358385149,309.70758963879547,2236.682549194073,0.0
40766.62457207371,11261.049619301379,18754.438617643897,313.9929555382337,1639.8065529862743,0.0
40594.03014955284,11012.016307566693,18838.079437365403,302.8077583705855,1724.6938436153264,0.0
40693.31161364555,11347.222110552244,18946.645341187625,309.4529056290369,1846.6770737700936,0.0
40616.37190912051,11206.813158649418,18856.53718413255,307.97737481298105,1912.505414155724,0.0
40606.15727256099,11165.598452430173,18801.109075768833,307.3958936300596,1926.1295675952038,0.0
40859.41355218983,11362.465066934334,19124.383561643837,314.5059884159402,2072.5829347215777,0.0
40848.8611187773,11089.050372403672,18961.981134402784,312.35891947921624,1657.6765039743973,0.0
40757.41489261201,11138.765657844515,18991.279179181627,308.27750269724146,1485.4151334505357,0.0
40703.27277329116,11252.590583765417,18858.67385782428,309.1197692006522,1431.7809109232974,0.0
40571.23368922363,11043.098436608761,19124.383561643837,302.49032241553175,1657.0764143108443,0.0
40760.988051534034,11219.206800198757,18878.327921642616,310.68921982575404,1680.8389661812776,0.0
40952.38882868581,11368.127863282709,19117.476634479306,316.2702238214357,1709.8703502806738,0.0
40825.099758886274,11414.871584436845,18864.808147432366,316.8652832754035,1566.0579320812433,0.0
41078.448117851156,11347.561912566238,18895.872170122897,322.53747014992047,1479.0317307680268,0.0
41266.28911575544,11385.229417211658,19124.383561643837,330.82010917231287,1855.287335206798,0.0
41079.12618541729,11442.060882644397,18913.942859600033,323.1747787257821,1330.7318441006503,0.0
40890.94182884273,11189.451134538756,18746.46448445245,317.52967708913866,1359.0568537543963,0.0
40749.50957782215,11124.147352265938,18980.1784935734,308.1109710408243,1620.7736614104906,0.0
40960.30564456799,11264.601325664491,19078.970236194833,317.34297395313837,1607.1941413889342,0.0
40868.13938631263,11245.759412459165,18909.142745340934,312.75988610656947,1345.1908479241201,0.0
41020.14892288475,11316.298316355646,18901.18758965424,321.1894774091451,1652.6012354777686,0.0
40966.19767667982,11344.68458365915,19093.006014232502,317.5106678406078,1866.9295073600763,0.0
40945.68977532399,11073.434189577612,18716.72480889828,318.93194584241706,1336.0827658563032,0.0
41027.949966648994,11448.380060033147,18838.37124344273,323.2603334852163,1840.1993062283123,0.0
41092.94632926878,11195.008336486282,18904.188346754225,323.04788160049617,1411.2243470067906,0.0
41203.47728403983,11157.784498675448,18700.766446872476,328.09543273357275,1614.0856449503449,0.0
41065.33820392737,11342.194460804109,18778.305760589556,326.1358783670563,1270.7630553897295,0.0
41116.254458867494,11310.928015866726,19111.115298374643,320.89207117919824,1433.884274676726,0.0
41032.13311085345,11257.142946692898,18885.74426761993,324.8774387527029,1683.2208490268429,0.0
41045.954795271915,11263.530825631507,18908.87350251999,323.3641462141016,1661.5701272662996,0.0
40994.57865214155,11310.174495813852,19116.24670306809,319.93904877477695,1200.7949061999548,0.0
40817.103594270004,11117.605591652202,18792.706412169606,314.884092886438,1455.6582648166172,0.0
41075.04242860186,11318.074416697067,18814.29775119526,324.145333125726,1217.1914462031007,0.0
41115.13861821985,11367.96562138804,19071.655657239316,320.65618835505086,1437.8445285635187,0.0
