energy,reg_up,reg_dn,reserve
5.099898068314634,0.0,7.605932207371468,0.0
0.9686365941982209,0.0,7.605932207371468,0.0
0.9076201158235301,0.0,7.605932207371468,0.0
0.7093165611057838,0.0,7.605932207371468,0.0
0.9381283550108759,0.0,7.605932207371468,0.0
0.8694848168393483,0.0,7.605932207371468,0.0
0.7779600992773114,0.0,7.605932207371468,0.0
1.1318441899534926,0.0,7.746134681841807,0.0
9.457576521368761,0.0,9.833727352299318,0.0
10.0,0.0,10.83329090472646,0.0
10.0,0.0,10.797949750963689,0.0
10.0,0.0,10.859476248314452,0.0
10.0,0.0,10.94815107899651,0.0
10.0,0.0,9.607645920792542,0.0
10.0,0.0,2.856172876258149,0.0
10.0,0.0,3.087483228906796,0.0
9.398871379106861,0.0,8.155119417358403,0.0
0.8586661153193612,0.0,7.605932207371468,0.0
0.783555695036802,0.0,7.605932207371468,0.0
0.8237224580583299,0.0,7.605932207371468,0.0
0.983890713791894,0.0,7.605932207371468,0.0
0.7932142188709844,0.0,7.605932207371468,0.0
0.9915177735887304,0.0,7.605932207371468,0.0
0.9942365571496385,0.0,7.645645847403606,0.0
0.7743552590060635,0.0,7.605932207371468,0.0
0.8084683384646572,0.0,7.605932207371468,0.0
0.8999930560266938,0.0,7.605932207371468,0.0
0.8084683384646572,0.0,7.605932207371468,0.0
0.8999930560266938,0.0,7.605932207371468,0.0
0.8923659962298574,0.0,7.605932207371468,0.0
1.2172749760076842,0.0,7.6988286654267135,0.0
1.875893372348686,0.0,7.881508247093439,0.0
9.517098753406001,0.0,9.980833580013687,0.0
10.0,0.0,10.991180480754254,0.0
10.0,0.0,10.925901457394902,0.0
10.0,0.0,10.948794971546764,0.0
10.0,0.0,10.881212750233313,0.0
10.0,0.0,8.411358002019465,0.0
10.0,0.0,2.8675523949969746,0.0
10.0,0.0,2.4874862699625617,0.0
10.0,0.0,8.375228102590796,0.0
1.0877529207056171,0.0,7.605932207371468,0.0
0.8859718643122309,0.0,7.605932207371468,0.0
0.7932142188709844,0.0,7.605932207371468,0.0
0.8999930560266938,0.0,7.605932207371468,0.0
0.8618577570425117,0.0,7.605932207371468,0.0
0.983890713791894,0.0,7.605932207371468,0.0
0.8542306972456752,0.0,7.605932207371468,0.0
1.0844628471578786,0.0,7.668137498527976,0.0
