Publish Time,Location,Solar MW
2022-07-01 07:00:00-07:00,SP15,1781.39
2022-07-01 07:00:00-07:00,ZP26,234.52
2022-07-01 07:00:00-07:00,CAISO,7493.85
2022-07-01 07:00:00-07:00,NP15,1240.05
2022-07-01 07:00:00-07:00,SP15,5293.88
2022-07-01 07:00:00-07:00,ZP26,959.92
2022-07-01 07:00:00-07:00,CAISO,10708.76
2022-07-01 07:00:00-07:00,NP15,1736.11
2022-07-01 07:00:00-07:00,SP15,7473.71
2022-07-01 07:00:00-07:00,ZP26,1498.94
2022-07-01 07:00:00-07:00,CAISO,12185.599999999999
2022-07-01 07:00:00-07:00,NP15,1876.28
2022-07-01 07:00:00-07:00,SP15,8512.89
2022-07-01 07:00:00-07:00,ZP26,1796.43
2022-07-01 07:00:00-07:00,CAISO,12882.91
2022-07-01 07:00:00-07:00,NP15,1945.9
2022-07-01 07:00:00-07:00,SP15,8985.58
2022-07-01 07:00:00-07:00,ZP26,1951.43
2022-07-01 07:00:00-07:00,CAISO,13241.5
2022-07-01 07:00:00-07:00,NP15,1982.61
2022-07-01 07:00:00-07:00,SP15,9217.24
2022-07-01 07:00:00-07:00,ZP26,2041.65
2022-07-01 07:00:00-07:00,CAISO,13328.96
2022-07-01 07:00:00-07:00,NP15,1991.32
2022-07-01 07:00:00-07:00,SP15,9266.71
2022-07-01 07:00:00-07:00,ZP26,2070.93
2022-07-01 07:00:00-07:00,CAISO,13323.060000000001
2022-07-01 07:00:00-07:00,NP15,1994.83
2022-07-01 07:00:00-07:00,SP15,9262.18
2022-07-01 07:00:00-07:00,ZP26,2066.05
2022-07-01 07:00:00-07:00,CAISO,13065.58
2022-07-01 07:00:00-07:00,NP15,1976.66
2022-07-01 07:00:00-07:00,SP15,9072.02
2022-07-01 07:00:00-07:00,ZP26,2016.9
2022-07-01 07:00:00-07:00,CAISO,12588.369999999999
2022-07-01 07:00:00-07:00,NP15,1943.32
2022-07-01 07:00:00-07:00,SP15,8709.74
2022-07-01 07:00:00-07:00,ZP26,1935.31
2022-07-01 07:00:00-07:00,CAISO,11751.54
2022-07-01 07:00:00-07:00,NP15,1888.31
2022-07-01 07:00:00-07:00,SP15,8080.02
2022-07-01 07:00:00-07:00,ZP26,1783.21
2022-07-01 07:00:00-07:00,CAISO,10005.6
2022-07-01 07:00:00-07:00,NP15,1742.79
2022-07-01 07:00:00-07:00,SP15,6749.52
2022-07-01 07:00:00-07:00,ZP26,1513.29
2022-07-01 07:00:00-07:00,CAISO,6269.21
2022-07-01 07:00:00-07:00,NP15,1272.64
2022-07-01 07:00:00-07:00,SP15,3974.85
2022-07-01 07:00:00-07:00,ZP26,1021.72
2022-07-01 07:00:00-07:00,CAISO,1484.52
2022-07-01 07:00:00-07:00,NP15,398.7
2022-07-01 07:00:00-07:00,SP15,813.48
2022-07-01 07:00:00-07:00,ZP26,272.34
2022-07-01 07:00:00-07:00,CAISO,21.12
2022-07-01 07:00:00-07:00,NP15,7.92
2022-07-01 07:00:00-07:00,SP15,10.57
2022-07-01 07:00:00-07:00,ZP26,2.63
2022-07-01 07:00:00-07:00,CAISO,0.01
2022-07-01 07:00:00-07:00,NP15,0.01
2022-07-01 07:00:00-07:00,SP15,0.0
2022-07-01 07:00:00-07:00,ZP26,0.0
2022-07-01 07:00:00-07:00,CAISO,0.0
2022-07-01 07:00:00-07:00,NP15,0.0
2022-07-01 07:00:00-07:00,SP15,0.0
2022-07-01 07:00:00-07:00,ZP26,0.0
2022-07-01 07:00:00-07:00,CAISO,0.0
2022-07-01 07:00:00-07:00,NP15,0.0
2022-07-01 07:00:00-07:00,SP15,0.0
2022-07-01 07:00:00-07:00,ZP26,0.0
2022-07-02 07:00:00-07:00,CAISO,0.0
2022-07-02 07:00:00-07:00,NP15,0.0
2022-07-02 07:00:00-07:00,SP15,0.0
2022-07-02 07:00:00-07:00,ZP26,0.0
2022-07-02 07:00:00-07:00,CAISO,0.0
2022-07-02 07:00:00-07:00,NP15,0.0
2022-07-02 07:00:00-07:00,SP15,0.0
2022-07-02 07:00:00-07:00,ZP26,0.0
2022-07-02 07:00:00-07:00,CAISO,0.0
2022-07-02 07:00:00-07:00,NP15,0.0
2022-07-02 07:00:00-07:00,SP15,0.0
2022-07-02 07:00:00-07:00,ZP26,0.0
2022-07-02 07:00:00-07:00,CAISO,0.0
2022-07-02 07:00:00-07:00,NP15,0.0
2022-07-02 07:00:00-07:00,SP15,0.0
2022-07-02 07:00:00-07:00,ZP26,0.0
2022-07-02 07:00:00-07:00,CAISO,0.0
2022-07-02 07:00:00-07:00,NP15,0.0
2022-07-02 07:00:00-07:00,SP15,0.0
2022-07-02 07:00:00-07:00,ZP26,0.0
2022-07-02 07:00:00-07:00,CAISO,37.32
2022-07-02 07:00:00-07:00,NP15,1.0
2022-07-02 07:00:00-07:00,SP15,35.74
2022-07-02 07:00:00-07:00,ZP26,0.58
2022-07-02 07:00:00-07:00,CAISO,2246.1099999999997
2022-07-02 07:00:00-07:00,NP15,313.48
2022-07-02 07:00:00-07:00,SP15,1707.06
2022-07-02 07:00:00-07:00,ZP26,225.57
2022-07-02 07:00:00-07:00,CAISO,7390.6
2022-07-02 07:00:00-07:00,NP15,1245.28
2022-07-02 07:00:00-07:00,SP15,5192.68
2022-07-02 07:00:00-07:00,ZP26,952.64
2022-07-02 07:00:00-07:00,CAISO,10652.119999999999
2022-07-02 07:00:00-07:00,NP15,1721.35
2022-07-02 07:00:00-07:00,SP15,7442.94
2022-07-02 07:00:00-07:00,ZP26,1487.83
2022-07-02 07:00:00-07:00,CAISO,12161.82
2022-07-02 07:00:00-07:00,NP15,1853.99
2022-07-02 07:00:00-07:00,SP15,8529.51
2022-07-02 07:00:00-07:00,ZP26,1778.32
2022-07-02 07:00:00-07:00,CAISO,12869.06
2022-07-02 07:00:00-07:00,NP15,1912.37
2022-07-02 07:00:00-07:00,SP15,9022.07
2022-07-02 07:00:00-07:00,ZP26,1934.62
2022-07-02 07:00:00-07:00,CAISO,13203.24
2022-07-02 07:00:00-07:00,NP15,1927.11
2022-07-02 07:00:00-07:00,SP15,9247.07
2022-07-02 07:00:00-07:00,ZP26,2029.06
2022-07-02 07:00:00-07:00,CAISO,13299.35
2022-07-02 07:00:00-07:00,NP15,1937.93
2022-07-02 07:00:00-07:00,SP15,9294.54
2022-07-02 07:00:00-07:00,ZP26,2066.88
2022-07-02 07:00:00-07:00,CAISO,13292.920000000002
2022-07-02 07:00:00-07:00,NP15,1942.49
2022-07-02 07:00:00-07:00,SP15,9286.12
2022-07-02 07:00:00-07:00,ZP26,2064.31
2022-07-02 07:00:00-07:00,CAISO,13040.369999999999
2022-07-02 07:00:00-07:00,NP15,1937.03
2022-07-02 07:00:00-07:00,SP15,9091.14
2022-07-02 07:00:00-07:00,ZP26,2012.2
2022-07-02 07:00:00-07:00,CAISO,12567.13
2022-07-02 07:00:00-07:00,NP15,1911.66
2022-07-02 07:00:00-07:00,SP15,8727.73
2022-07-02 07:00:00-07:00,ZP26,1927.74
2022-07-02 07:00:00-07:00,CAISO,11747.35
2022-07-02 07:00:00-07:00,NP15,1866.45
2022-07-02 07:00:00-07:00,SP15,8106.7
2022-07-02 07:00:00-07:00,ZP26,1774.2
2022-07-02 07:00:00-07:00,CAISO,9977.83
2022-07-02 07:00:00-07:00,NP15,1730.47
2022-07-02 07:00:00-07:00,SP15,6741.04
2022-07-02 07:00:00-07:00,ZP26,1506.32
2022-07-02 07:00:00-07:00,CAISO,6256.26
2022-07-02 07:00:00-07:00,NP15,1284.11
2022-07-02 07:00:00-07:00,SP15,3956.06
2022-07-02 07:00:00-07:00,ZP26,1016.09
2022-07-02 07:00:00-07:00,CAISO,1485.54
2022-07-02 07:00:00-07:00,NP15,405.02
2022-07-02 07:00:00-07:00,SP15,810.6
2022-07-02 07:00:00-07:00,ZP26,269.92
2022-07-02 07:00:00-07:00,CAISO,17.72
2022-07-02 07:00:00-07:00,NP15,8.32
2022-07-02 07:00:00-07:00,SP15,6.73
2022-07-02 07:00:00-07:00,ZP26,2.67
2022-07-02 07:00:00-07:00,CAISO,0.01
2022-07-02 07:00:00-07:00,NP15,0.01
2022-07-02 07:00:00-07:00,SP15,0.0
2022-07-02 07:00:00-07:00,ZP26,0.0
2022-07-02 07:00:00-07:00,CAISO,0.0
2022-07-02 07:00:00-07:00,NP15,0.0
2022-07-02 07:00:00-07:00,SP15,0.0
2022-07-02 07:00:00-07:00,ZP26,0.0
2022-07-02 07:00:00-07:00,CAISO,0.0
2022-07-02 07:00:00-07:00,NP15,0.0
2022-07-02 07:00:00-07:00,SP15,0.0
2022-07-02 07:00:00-07:00,ZP26,0.0
2022-07-03 07:00:00-07:00,CAISO,0.0
2022-07-03 07:00:00-07:00,NP15,0.0
2022-07-03 07:00:00-07:00,SP15,0.0
2022-07-03 07:00:00-07:00,ZP26,0.0
2022-07-03 07:00:00-07:00,CAISO,0.0
2022-07-03 07:00:00-07:00,NP15,0.0
2022-07-03 07:00:00-07:00,SP15,0.0
2022-07-03 07:00:00-07:00,ZP26,0.0
2022-07-03 07:00:00-07:00,CAISO,0.0
2022-07-03 07:00:00-07:00,NP15,0.0
2022-07-03 07:00:00-07:00,SP15,0.0
2022-07-03 07:00:00-07:00,ZP26,0.0
2022-07-03 07:00:00-07:00,CAISO,0.0
2022-07-03 07:00:00-07:00,NP15,0.0
2022-07-03 07:00:00-07:00,SP15,0.0
2022-07-03 07:00:00-07:00,ZP26,0.0
2022-07-03 07:00:00-07:00,CAISO,0.0
2022-07-03 07:00:00-07:00,NP15,0.0
2022-07-03 07:00:00-07:00,SP15,0.0
2022-07-03 07:00:00-07:00,ZP26,0.0
2022-07-03 07:00:00-07:00,CAISO,30.4
2022-07-03 07:00:00-07:00,NP15,0.87
2022-07-03 07:00:00-07:00,SP15,29.06
2022-07-03 07:00:00-07:00,ZP26,0.47
2022-07-03 07:00:00-07:00,CAISO,2128.42
2022-07-03 07:00:00-07:00,NP15,306.71
2022-07-03 07:00:00-07:00,SP15,1600.38
2022-07-03 07:00:00-07:00,ZP26,221.33
2022-07-03 07:00:00-07:00,CAISO,7221.32
2022-07-03 07:00:00-07:00,NP15,1240.19
2022-07-03 07:00:00-07:00,SP15,5035.87
2022-07-03 07:00:00-07:00,ZP26,945.26
2022-07-03 07:00:00-07:00,CAISO,10471.16
2022-07-03 07:00:00-07:00,NP15,1712.18
2022-07-03 07:00:00-07:00,SP15,7277.24
2022-07-03 07:00:00-07:00,ZP26,1481.74
2022-07-03 07:00:00-07:00,CAISO,11981.11
2022-07-03 07:00:00-07:00,NP15,1828.46
2022-07-03 07:00:00-07:00,SP15,8378.76
2022-07-03 07:00:00-07:00,ZP26,1773.89
2022-07-03 07:00:00-07:00,CAISO,12695.400000000001
2022-07-03 07:00:00-07:00,NP15,1895.06
2022-07-03 07:00:00-07:00,SP15,8871.44
2022-07-03 07:00:00-07:00,ZP26,1928.9
2022-07-03 07:00:00-07:00,CAISO,13060.3
2022-07-03 07:00:00-07:00,NP15,1926.34
2022-07-03 07:00:00-07:00,SP15,9111.4
2022-07-03 07:00:00-07:00,ZP26,2022.56
2022-07-03 07:00:00-07:00,CAISO,13161.24
2022-07-03 07:00:00-07:00,NP15,1927.82
2022-07-03 07:00:00-07:00,SP15,9178.36
2022-07-03 07:00:00-07:00,ZP26,2055.06
2022-07-03 07:00:00-07:00,CAISO,13119.97
2022-07-03 07:00:00-07:00,NP15,1920.49
2022-07-03 07:00:00-07:00,SP15,9145.07
2022-07-03 07:00:00-07:00,ZP26,2054.41
2022-07-03 07:00:00-07:00,CAISO,12848.6
2022-07-03 07:00:00-07:00,NP15,1900.5
2022-07-03 07:00:00-07:00,SP15,8944.08
2022-07-03 07:00:00-07:00,ZP26,2004.02
2022-07-03 07:00:00-07:00,CAISO,12354.310000000001
2022-07-03 07:00:00-07:00,NP15,1852.51
2022-07-03 07:00:00-07:00,SP15,8577.92
2022-07-03 07:00:00-07:00,ZP26,1923.88
2022-07-03 07:00:00-07:00,CAISO,11540.85
2022-07-03 07:00:00-07:00,NP15,1807.9
2022-07-03 07:00:00-07:00,SP15,7957.56
2022-07-03 07:00:00-07:00,ZP26,1775.39
2022-07-03 07:00:00-07:00,CAISO,9778.97
2022-07-03 07:00:00-07:00,NP15,1653.45
2022-07-03 07:00:00-07:00,SP15,6625.94
2022-07-03 07:00:00-07:00,ZP26,1499.58
2022-07-03 07:00:00-07:00,CAISO,6117.65
2022-07-03 07:00:00-07:00,NP15,1221.63
2022-07-03 07:00:00-07:00,SP15,3890.72
2022-07-03 07:00:00-07:00,ZP26,1005.3
2022-07-03 07:00:00-07:00,CAISO,1442.67
