Time,Solar
2022-07-05 23:00:00-07:00,0.0
2022-07-06 00:00:00-07:00,0.0
2022-07-06 01:00:00-07:00,0.0
2022-07-06 02:00:00-07:00,0.0
2022-07-06 03:00:00-07:00,0.0
2022-07-06 04:00:00-07:00,0.0
2022-07-06 05:00:00-07:00,4.166666666666667
2022-07-06 06:00:00-07:00,1887.8333333333333
2022-07-06 07:00:00-07:00,7729.75
2022-07-06 08:00:00-07:00,11502.833333333334
2022-07-06 09:00:00-07:00,12928.416666666666
2022-07-06 10:00:00-07:00,13604.333333333334
2022-07-06 11:00:00-07:00,13843.0
2022-07-06 12:00:00-07:00,13843.333333333334
2022-07-06 13:00:00-07:00,13859.083333333334
2022-07-06 14:00:00-07:00,13662.166666666666
2022-07-06 15:00:00-07:00,13320.666666666666
2022-07-06 16:00:00-07:00,12528.583333333334
2022-07-06 17:00:00-07:00,11358.083333333334
2022-07-06 18:00:00-07:00,7676.833333333333
2022-07-06 19:00:00-07:00,2283.3333333333335
2022-07-06 20:00:00-07:00,353.0833333333333
2022-07-06 21:00:00-07:00,131.58333333333334
2022-07-06 22:00:00-07:00,0.0
2022-07-06 23:00:00-07:00,0.0
2022-07-07 00:00:00-07:00,0.0
2022-07-07 01:00:00-07:00,0.0
2022-07-07 02:00:00-07:00,0.0
2022-07-07 03:00:00-07:00,0.0
2022-07-07 04:00:00-07:00,0.0
2022-07-07 05:00:00-07:00,4.333333333333333
2022-07-07 06:00:00-07:00,1876.0
2022-07-07 07:00:00-07:00,7683.5
2022-07-07 08:00:00-07:00,11321.75
2022-07-07 09:00:00-07:00,12621.25
2022-07-07 10:00:00-07:00,13159.5
2022-07-07 11:00:00-07:00,13419.25
2022-07-07 12:00:00-07:00,13533.333333333334
2022-07-07 13:00:00-07:00,13479.583333333334
2022-07-07 14:00:00-07:00,13375.0
2022-07-07 15:00:00-07:00,12892.833333333334
2022-07-07 16:00:00-07:00,12545.166666666666
2022-07-07 17:00:00-07:00,11330.833333333334
2022-07-07 18:00:00-07:00,7476.833333333333
2022-07-07 19:00:00-07:00,2047.0
2022-07-07 20:00:00-07:00,53.25
2022-07-07 21:00:00-07:00,0.0
2022-07-07 22:00:00-07:00,9.416666666666666
2022-07-07 23:00:00-07:00,0.9166666666666666
