energy,fcas,capacity,imbalance,degradation
322.20026471732234,64.14185383500921,106.88893612901165,0.0,7.099363600227221
54.97533404757341,30.689640972350432,106.88893612901165,20.879452742291075,2.360137137076532
62.68116103105781,26.932063870725752,106.88893612901165,0.0,2.382478906722156
67.23073439397525,14.556397052042428,106.88893612901165,0.0,2.240404722199771
59.88065203878455,14.556397052042428,106.88893612901165,0.0,2.3929885601256937
81.5335004533534,30.32582719175506,106.88893612901165,0.0,2.5518902787165665
91.29428975960059,37.40185353649791,106.88893612901165,0.0,2.3072585344243404
122.46670355619749,30.828411563159868,106.88893612901165,0.0,1.5620737809845882
479.7478820593541,168.1881138154117,106.88893612901165,5.4315019871948165,3.587888358927994
440.30082799894024,227.7339219841438,106.88893612901165,0.0,2.6495587995753747
331.64473235782407,224.1732490223498,106.88893612901165,0.0,2.541777221528442
225.0055298110209,398.4984351606701,106.88893612901165,0.0,2.1862999019430784
186.878022841752,387.78593219644466,106.88893612901165,0.0,2.451299812461624
180.5177634669728,328.97291798284755,106.88893612901165,0.0,2.445676639260562
188.03513535499826,370.70339024176377,106.88893612901165,0.0,3.0455167885714616
362.32160327799363,144.52917578480483,106.88893612901165,0.0,5.31320195174499
144.1113052999954,47.106118237859526,106.88893612901165,0.0,1.9931487790615103
253.9177694206992,28.628490643832528,106.88893612901165,0.0,3.924643478303969
102.64576618610808,70.35488881298322,106.88893612901165,24.58547251210867,2.5807418701262073
103.56692416794542,55.042286127851185,106.88893612901165,0.0,2.2939819162390602
71.81088553919516,17.386807589939565,106.88893612901165,0.0,2.0973959834149483
75.69868711884516,29.964028314198817,106.88893612901165,7.865542117912393,2.274470033198397
79.83519158534708,14.556397052042428,106.88893612901165,0.0,2.5326981845077876
85.40668479684267,14.159079000628596,106.88893612901165,1.1276227679674187,2.649281873896763
74.85949004874179,30.32582719175506,106.88893612901165,0.0,2.6626369849503773
77.67343092227705,19.963795298604275,106.88893612901165,0.0,2.5576465699890747
68.13779282658126,43.06267461229218,106.88893612901165,0.0,2.334920216947408
60.9356958796896,19.71178767464079,106.88893612901165,0.0,2.3897032621799204
68.33935360013969,20.139558015100647,106.88893612901165,2.241899577887804,2.3206160149700805
58.50710761546333,30.40272962359948,106.88893612901165,4.926115981251912,2.2647393037679864
102.65817419518764,41.06147816169981,106.88893612901165,47.456369944045534,2.610801321345877
151.43578141110908,52.11495789532624,106.88893612901165,0.0,1.8263511296657233
488.32318600014986,169.24306775317834,106.88893612901165,0.0,3.5482094253060668
470.55050592612236,218.756402472622,106.88893612901165,0.0,2.2732352946173147
403.10220960056563,326.8467842950835,106.88893612901165,0.0,1.9968460459117343
353.13732516436903,411.9752738295947,106.88893612901165,0.0,2.384560461096089
346.23408438670907,396.61759621892446,106.88893612901165,0.0,2.4274454997618675
306.2040448586073,364.61540983977324,106.88893612901165,0.0,2.807415362182468
430.1196395457759,343.7519732054366,106.88893612901165,0.0,2.6156245788637236
626.103969632379,168.37700452450798,106.88893612901165,0.0,4.907409003933269
417.04407281181096,52.21741305174809,106.88893612901165,0.0,4.834224186598423
168.06185691256027,51.04847577278767,106.88893612901165,0.0,3.0410613427861555
93.77249055234702,51.40191263063491,106.88893612901165,19.600720212911803,2.360149451853647
93.41325419537456,51.19636472339281,106.88893612901165,0.0,2.515497441635193
96.89990011759116,23.856317390847313,106.88893612901165,0.0,2.7283135863515633
98.6730596636891,29.6981641661794,106.88893612901165,7.657798547524897,2.6009799959663873
73.96447994271956,27.281720658246684,106.88893612901165,0.0,2.3058232511867347
62.72482912734127,30.32582719175506,106.88893612901165,0.0,2.3357345215664447
64.04874344488186,44.25427744874688,106.88893612901165,0.0,2.378752269027342
60.04515561605102,38.233792062458384,106.88893612901165,0.0,2.644749084756505
75.27334234274485,30.393719082229126,106.88893612901165,4.059208919075752,2.7496949768387515
64.74926872552395,35.86413192569465,106.88893612901165,0.0,2.600635748589365
72.99888742499361,45.357514438345895,106.88893612901165,6.342062347561733,2.4975490438583083
85.81873386926137,20.114261933601266,106.88893612901165,12.698848185436262,2.3816981313167704
113.06177844267629,20.65319754822491,106.88893612901165,72.6144594088166,2.3125718455924997
191.72758273588198,64.97364652017583,106.88893612901165,28.990125227436174,2.228319708947928
452.348433272035,72.2406336840101,106.88893612901165,0.0,1.6357683840758133
530.5862139925769,78.54933685002935,106.88893612901165,0.0,2.2858679828222446
495.83400301696713,119.17431328795213,106.88893612901165,0.0,2.0228302652112107
494.90858815835975,261.81627137660007,106.88893612901165,0.0,2.172709037746782
494.99130648639095,163.09036747131557,106.88893612901165,0.0,2.100715706046267
500.18608551961836,127.26541565231427,106.88893612901165,0.0,2.602307504299635
522.8524557900319,158.06419423874567,106.88893612901165,0.0,3.5727281447670984
729.8494478455285,175.5970537810737,106.88893612901165,0.0,6.6479276359357415
302.9200979777296,121.35615731138958,106.88893612901165,0.0,3.5979869928910837
186.88195896013303,121.8048538405637,106.88893612901165,20.974646380582666,3.2841005960718155
100.19122701049088,102.56419673619591,106.88893612901165,41.518305067434234,2.209318765706767
71.98593868849744,65.46618270847316,106.88893612901165,0.0,2.0107914361860617
74.91284610364161,36.492078720745255,106.88893612901165,0.0,2.3291108266545395
78.5528575030119,36.44582347298684,106.88893612901165,3.2015541402452947,2.7187775438152375
83.85337796728938,60.550568292870935,106.88893612901165,0.0,2.7204890144735288
64.73439637965238,60.550568292870935,106.88893612901165,0.0,2.5283316037037125
56.49312530985559,50.54304531959176,106.88893612901165,0.0,2.446142996120131
53.335406309593246,50.54304531959176,106.88893612901165,0.0,2.458469883284187
52.812149519535204,54.24047125690118,106.88893612901165,0.0,2.557365775292855
56.2887138081583,50.54304531959176,106.88893612901165,0.0,2.313832535261289
46.08945299856912,50.56721811541384,106.88893612901165,0.7712895920832109,2.2440216029434836
64.0548906819854,50.70224235889252,106.88893612901165,5.880136551005861,2.6095994444669977
81.00202302368433,30.9387525584033,106.88893612901165,41.98520003168143,2.3545020627524442
146.21473147905556,70.65041030363716,106.88893612901165,40.782303287615136,2.1251013132226757
350.66438676262374,52.93991175337063,106.88893612901165,0.0,2.464581970062802
432.4705869244046,63.368700400639504,106.88893612901165,0.0,2.6287494196490577
365.5073893124779,77.58211304671099,106.88893612901165,0.0,2.474747882455796
327.42440705726403,102.85171598860978,106.88893612901165,0.0,2.3511004769367725
310.66540021032165,76.68832511871406,106.88893612901165,0.0,2.6527332554455967
330.671984766702,76.17063941306854,106.88893612901165,0.0,2.933376021571057
283.78968890420646,138.04785347829824,106.88893612901165,0.0,3.0874084518633964
461.0066856814546,70.75147424765004,106.88893612901165,20.148219166548206,4.78440152292433
193.65525434209138,45.137064496852474,106.88893612901165,74.63980616987237,3.074472745094365
111.17978193161883,101.08609063918352,106.88893612901165,0.0,2.5510764198688056
86.32828549702083,31.151547455903216,106.88893612901165,9.974290047245367,2.380304963660335
78.5199045211447,52.91806301915938,106.88893612901165,0.0,2.4389619078376814
72.19499163103212,60.550568292870935,106.88893612901165,0.0,2.4802472144487453
64.33394591849262,94.62234274544221,106.88893612901165,0.0,2.4264772501351
56.090167411766934,39.454709865198446,106.88893612901165,0.0,2.4364325321223346
54.61873607658818,39.839948956624376,106.88893612901165,0.0,2.455184585338414
