revenue_energy,revenue_fcas,capacity_payment,cost_degradation,imbalance_penalty,prediction_penalty
24815.116974166427,8426.131750960121,15586.372575045789,250.05609536420408,8141.869111550551,0.0
27231.79896465668,8465.106156130765,15586.372597272353,249.42258095154816,6755.234586753625,0.0
29243.269812674676,8526.358281702855,15586.372547270073,218.40734290842025,5678.256623351911,0.0
29842.939539312803,8446.313436025952,15586.37257383121,185.0828319913245,5584.57216494358,0.0
30365.607032925145,8352.910755965102,15586.37257301215,155.32316150594667,3493.9481444445446,0.0
30376.61478454198,8446.123523121234,15586.372593150178,147.0797625550832,2680.745614637339,0.0
28633.483452316876,8145.810618087207,15586.37256451269,130.15835685807804,3110.8855330125275,0.0
30342.40671242788,8416.657369717925,15586.372562235756,129.22003383270933,2655.3068878436147,0.0
30393.48769356767,8317.87210917318,15586.372584202023,131.72908951035478,2194.7792745803854,0.0
30477.84114576008,8158.3528572433825,15586.372616400464,116.52516136484854,2656.302143739622,0.0
