revenue_energy,revenue_fcas,capacity_payment,cost_degradation,imbalance_penalty,prediction_penalty
34973.565124160334,10323.110249153842,19124.383561643837,251.994977847087,19684.016156732858,0.0
36610.17876499114,10581.669639050497,19124.383561643837,254.51366618237964,15518.981801740065,0.0
37150.942852852415,10759.524559736268,19124.383561643837,261.1117974258873,10824.222490913164,0.0
38245.242287885514,10123.146916217032,19124.383561643837,261.1456327902265,8329.66695864022,0.0
38311.449586400435,10112.170363655514,19124.383561643837,250.91268443367719,6273.747462455951,0.0
38463.37965972202,9890.988954579314,19124.383561643837,245.20427062686235,4724.309642375177,0.0
38703.00039608604,9711.629372569303,19124.383561643837,246.54399675287755,4494.494761892755,0.0
38820.44319381005,9725.921858622307,19124.383561643837,246.74462914996548,4360.583892570628,0.0
38682.12236803218,9681.376147918045,19124.383561643837,243.53095821488395,3296.2442895237864,0.0
38791.67808199673,9723.554654222231,19124.383561643837,246.59048789170157,3775.091578162789,0.0
